Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Region_Local,Region_Mid,Region_Broad,Industry_Category
LMArena,https://www.crunchbase.com/organization/lmarena,2025-01-01,Anastasios Angelopoulos,11-50,"LMArena focuses on building a neutral, open, community-driven platform.","Artificial Intelligence (AI), Communities, Machine Learning, Product Research","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Design, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,100000000.0,USD,2025-05-21,Seed,100000000.0,USD,2.0,"Andreessen Horowitz, Lightspeed Venture Partners, Kleiner Perkins, Felicis, The House Fund",-0.3,5.7,6.6,500.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Unframe,https://www.crunchbase.com/organization/unframe-fcd6,2024-01-01,Unknown,11-50,"Unframe enables quick custom AI solutions with secure data handling and seamless integrations, all within a scalable platform.","Artificial Intelligence (AI), SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Cupertino, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Early Stage Venture,2,30000000.0,USD,2025-04-03,Series A,50000000.0,USD,7.0,"Bessemer Venture Partners, Craft Ventures, TLV Partners, Third Point Ventures, S Ventures",-0.4,-0.4,-0.5,267.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Norm AI,https://www.crunchbase.com/organization/norm-ai,2023-01-01,John Nay,51-100,Norm AI is a regulatory AI agent company that automates legal and compliance tasks.,"Artificial Intelligence (AI), Compliance, Legal Tech","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Early Stage Venture,4,48000000.0,USD,2025-03-11,Series A,86100000.0,USD,1.0,"Craft Ventures, Bain Capital, Bain Capital Ventures, Coatue, Haystack",0.2,-0.8,-1.4,280.00%,Y,Greater New York Area,East Coast,Northeastern US,AI & Data
Dash0,https://www.crunchbase.com/organization/dash0,2023-05-01,"Benjamin Blackmore, Marcel Birkner, Michele Mancioppi, Michele Mancioppi, Miel Donkers, Mirko Novakovic",11-50,"The first OpenTelemetry Native observability tool. Real-time metrics, logs, traces, no proprietary data. Full transparency, cost control.",Software,Software,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,9500000.0,USD,2024-11-05,Seed,9500000.0,USD,1.0,"Accel, DIG Ventures, Guillermo Rauch, Guy Podjarny",0.3,0.7,1.8,160.00%,Y,Greater New York Area,East Coast,Northeastern US,Enterprise Software
Northwood Space,https://www.crunchbase.com/organization/northwood-space,2023-01-01,"Bridgit Mendler, Griffin Cleverly, Shaurya Luthra",11-50,Northwood Space is a hardware solution that expands the orbits and frequency ranges available from the ground for satellite communication.,Satellite Communication,Hardware,"Torrance, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Early Stage Venture,3,30000000.0,USD,2025-04-22,Series A,36400000.0,USD,4.0,"Andreessen Horowitz, BoxGroup, StepStone Group, Founders Fund, Long Journey Ventures",0.0,-0.9,0.0,113.00%,Y,Greater Los Angeles Area,West Coast,Western US,Other
Artisan AI,https://www.crunchbase.com/organization/artisan-ai,2023-09-14,"Jaspar Carmichael-Jack, Sam Stallings",101-250,Artisan AI is a software development company that develops AI-powered employees to automate workflows across various business functions.,"Artificial Intelligence (AI), Information Technology, Internet, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,4,25000000.0,USD,2025-04-09,Series A,46100000.0,USD,4.0,"Alumni Ventures, Bond, Y Combinator, Glade Brook Capital Partners, 10x Founders",-0.5,-2.0,-2.2,160.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Heron Power,https://www.crunchbase.com/organization/heron-power,2024-01-01,Drew Baglino,11-50,Heron Power is an energy technology startup focused on developing power electronics for the modern electrical grid.,Electrical Distribution,Energy,"Santa Cruz, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,1,38000000.0,USD,2025-05-29,Series A,38000000.0,USD,1.0,"Valor Equity Partners, Breakthrough Energy Ventures, Powerhouse Ventures, Energy Impact Partners, Capricorn Investment Group",-0.1,6.0,-2.0,1175.00%,Y,San Francisco Bay Area,West Coast,Western US,CleanTech & Energy
Baasi,https://www.crunchbase.com/organization/baasi,2023-02-06,"Gvantsa Khunashvili, Tornike Kutchukhidze, Zurab Tutberidze",11-50,"An innovative communications software platform that brings advanced communication tools to everyone, from individuals to businesses.","B2B, B2C, Developer APIs, Information and Communications Technology (ICT), Information Technology, Meeting Software, PaaS, SaaS, Telecommunications, Video Conferencing","Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Active,Seed,2,0.0,USD,2024-10-01,Seed,100000.0,USD,0.0,AngelList Quant Fund,1.3,0.7,0.5,-14.00%,Y,Greater Philadelphia Area,East Coast,Southern US,Enterprise Software
Foundation Future Industries,https://www.crunchbase.com/organization/foundation-85f0,2024-01-01,"Arjun Sethi, Mike LeBlanc, Sankaet Pathak",11-50,Foundation is a company that developes general purpose robotics to address the labour shortage problems.,"Artificial Intelligence (AI), Machine Learning, Robotics","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,0.0,USD,2024-08-22,Pre-Seed,0.0,USD,0.0,Tribe Capital,0.0,0.3,1.6,375.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Tabs,https://www.crunchbase.com/organization/tabs-03d6,2023-01-01,"Ali Hussain, Deepak Bapat",51-100,Tabs is the first AI Driven Revenue Automation Platform for B2B Finance,"Accounting, Artificial Intelligence (AI), Enterprise Software, FinTech, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Early Stage Venture,4,55000000.0,USD,2025-09-16,Series B,92000000.0,USD,4.0,"General Catalyst, Alumni Ventures, Lightspeed Venture Partners, Primary Venture Partners, World Innovation Lab",0.2,9.1,9.3,190.00%,Y,Greater New York Area,East Coast,Northeastern US,Fintech
TensorWave,https://www.crunchbase.com/organization/tensorwave,2023-12-01,"Darrick Horton, Jeff Tatarchuk, Piotr Tomasik",51-100,TensorWave is an AMD GPU exclusive Cloud that supports training and inference at scale,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Generative AI, IaaS","Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Las Vegas, Nevada, United States",Western US,Active,Early Stage Venture,5,100000000.0,USD,2025-05-14,Series A,146713300.0,USD,4.0,"Nexus Venture Partners, Translink Capital, AMD, Maverick Capital, Magnetar Capital",-0.3,-1.4,-4.0,74.00%,Y,Western US,Unknown,Unknown,AI & Data
Pacific Fusion,https://www.crunchbase.com/organization/pacific-fusion,2023-01-01,Will Regan,11-50,"Pacific Fusion focuses on renewable energy generation, emphasizing affordable fusion power inspired by nature.","Energy, Natural Resources, Renewable Energy","Energy, Natural Resources, Sustainability","Fremont, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Early Stage Venture,1,900000000.0,USD,2024-10-25,Series A,900000000.0,USD,2.0,"General Catalyst, Alumni Ventures, Lightspeed Venture Partners, Lowercarbon Capital, Breakthrough Energy Ventures",-0.5,-0.8,-1.1,111.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,CleanTech & Energy
Adaptive Security,https://www.crunchbase.com/organization/adaptive-security-83b8,2023-01-01,Unknown,51-100,Adaptive Security is a computer network security company that focuses on deepfake attacks and provides cybersecurity services.,"Artificial Intelligence (AI), Cyber Security, Network Security, Security, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Early Stage Venture,1,55000000.0,USD,2025-04-02,Series A,55000000.0,USD,2.0,"Andreessen Horowitz, Abstract, Eniac Ventures, OpenAI Startup Fund, K5 Ventures",-0.4,0.5,5.0,179.00%,Y,Greater New York Area,East Coast,Northeastern US,AI & Data
Crescendo,https://www.crunchbase.com/organization/crescendo-874d,2024-01-01,"Anand Chandrasekaran, Andy Lee, Matt Price, Slava Zhakov",11-50,Crescendo offers a full-stack customer service platform combining the most advanced AI with a global service team.,"Artificial Intelligence (AI), Customer Service, Outsourcing, Software","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Late Stage Venture,1,50000000.0,USD,2024-10-02,Series C,50000000.0,USD,1.0,"General Catalyst, Celesta Capital, Alorica",5.9,5.1,8.4,89.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Articul8,https://www.crunchbase.com/organization/articul8-30ee,2024-01-03,Arun Subramaniyan,51-100,Articul8 operates as a Generative AI enterprise software.,"Artificial Intelligence (AI), Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,0.0,USD,2024-01-03,Seed,0.0,USD,1.0,"Fin Capital, DigitalBridge, Mindset Ventures, GS Futures, Lightscape Partners",-0.2,0.4,-0.9,46.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Zarminali Health,https://www.crunchbase.com/organization/zarminali-health,2024-01-01,Danish Qureshi,11-50,"Zarminali Health transforms pediatric care by building multispecialty pediatric group that provides modern, seamlessly coordinated care.","Child Care, Health Care, Medical",Health Care,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Seed,2,40000000.0,USD,2024-11-20,Seed,40000000.0,USD,1.0,General Catalyst,-0.1,-0.3,-1.2,264.00%,Y,Greater Chicago Area,Great Lakes,Midwestern US,Healthcare & Biotech
General Counsel AI,https://www.crunchbase.com/organization/general-counsel-ai,2023-11-01,"Bardia Pourvakil, Cecilia Ziniti",11-50,General Counsel AI is web-based legal AI copilot for in-house counsel,"Artificial Intelligence (AI), Legal, Legal Tech","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,2,10000000.0,USD,2025-05-29,Series A,11646596.0,USD,2.0,"FJ Labs, Sound Ventures, Worklife, Guillermo Rauch, Gokul Rajaram",0.0,-0.9,-1.5,291.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Guidehealth,https://www.crunchbase.com/organization/guidehealth,2023-01-01,Sanjay Doddamani,101-250,"Guidehealth offers healthcare solutions focusing on patient care, provider support, and technology integration.","Artificial Intelligence (AI), Health Care, Information Technology, Medical","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",Active,Unknown,2,10000000.0,USD,2025-06-10,Venture - Series Unknown,24000000.0,USD,2.0,"Emory Healthcare, Memorial Hermann Health System, Sidd Pagidipati",-0.4,-0.2,-3.7,12.00%,Y,Dallas/Fort Worth Metroplex,Unknown,Southern US,Healthcare & Biotech
Small Cheval,https://www.crunchbase.com/organization/small-cheval,2023-01-01,Unknown,11-50,Small Cheval is a restaurant comapny.,"Food and Beverage, Hospitality, Restaurants, Wine And Spirits","Food and Beverage, Travel and Tourism","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Unknown,1,10950000.0,USD,2024-02-21,Venture - Series Unknown,10950000.0,USD,0.0,Unknown,0.2,-0.1,-0.6,-1.00%,Y,Greater Chicago Area,Great Lakes,Midwestern US,Healthcare & Biotech
Skild AI,https://www.crunchbase.com/organization/skild-ai,2023-01-01,"Abhinav Gupta Abhinav Gupta, Deepak Pathak",11-50,Skild AI is a startup that develops software to power various robots.,"Artificial Intelligence (AI), Information Technology, Robotics","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Pittsburgh, Pennsylvania, United States","Great Lakes, Northeastern US",Active,Early Stage Venture,2,135000000.0,USD,2025-06-11,Series B,435000000.0,USD,7.0,"Menlo Ventures, General Catalyst, NVIDIA, Lightspeed Venture Partners, Sequoia Capital",-0.2,-2.0,-2.5,62.00%,Y,Great Lakes,Unknown,Northeastern US,AI & Data
Also,https://www.crunchbase.com/organization/also-f23f,2025-01-01,Unknown,51-100,Also is an electric micromobility company that provides e-bikes and other mobility solutions.,"Automotive, Electric Vehicle, Manufacturing, Transportation","Manufacturing, Transportation","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Unknown,2,200000000.0,USD,2025-07-08,Venture - Series Unknown,305000000.0,USD,2.0,"Eclipse Ventures, Greenoaks",-0.3,-1.4,7.4,1233.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,CleanTech & Energy
Neros Technologies,https://www.crunchbase.com/organization/neros-technologies,2023-01-01,"Olaf Hichwa, Soren Monroe-Anderson",11-50,Neros Technologies is a defense technology company specializing in the development and manufacturing of advanced unmanned aerial systems.,"Drones, Industrial Automation, Machinery Manufacturing, Manufacturing","Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Early Stage Venture,2,35000000.0,USD,2025-03-17,Series A,44500000.0,USD,3.0,"Sequoia Capital, BoxGroup, Long Journey Ventures, Cantos, Interlagos Capital",0.0,-0.7,1.2,175.00%,Y,Greater Los Angeles Area,West Coast,Western US,AI & Data
Sully.ai,https://www.crunchbase.com/organization/sully-ai,2023-01-01,"Ahmed Nasser, Ahmed Nasser, Ahmed Omar, Chaitanya Gharpure",11-50,Sully.ai offers an AI Medical Assistant that automates clinical tasks and integrates with EHR systems.,"Apps, Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Hospital, Machine Learning, Software","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,6,0.0,USD,2025-02-10,Series A,24648120.0,USD,5.0,"500 Global, Goodwater Capital, Plug and Play, Y Combinator, LoftyInc Capital",0.0,-0.4,-0.3,116.00%,Y,San Francisco Bay Area,West Coast,Western US,Healthcare & Biotech
Gallatin,https://www.crunchbase.com/organization/gallatin,2024-01-01,Unknown,11-50,Gallatin is a logistics platform that offers AI-powered decision support for the defense industry.,"Logistics, Military, National Security, Predictive Analytics, Software, Supply Chain Management","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Software, Transportation","El Segundo, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,2,15000000.0,USD,2025-04-08,Seed,15000000.0,USD,1.0,"8VC, Silent Ventures, Moonshots Capital, Banter Capital",0.0,2.9,-0.8,200.00%,Y,Greater Los Angeles Area,West Coast,Western US,AI & Data
Prosper Health,https://www.crunchbase.com/organization/prosper-health,2023-01-01,"Ben Schecter, Brett Katz",11-50,Prosper Health is a telemedicine company that solely serves autistic and neurodivergent persons.,"Health Care, Mental Health",Health Care,"Weston, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Unknown,1,16234237.0,USD,2025-01-23,Undisclosed,16234237.0,USD,0.0,Unknown,0.0,-0.3,-0.1,89.00%,Y,Greater Miami Area,East Coast,Southern US,Healthcare & Biotech
The Nuclear Company,https://www.crunchbase.com/organization/the-nuclear-company,2023-01-01,"Jonathan Webb, Kiran Bhatraju, Patrick Maloney",11-50,The Nuclear Company is a fleet-scale nuclear deployment firm that offers for nuclear sectors.,"Clean Energy, Electrical Distribution, Nuclear","Energy, Science and Engineering, Sustainability","Lexington, Kentucky, United States",Southern US,Active,Early Stage Venture,1,46299833.0,USD,2025-05-15,Series A,46299833.0,USD,1.0,"Eclipse, True Ventures, CIV, Goldcrest Capital, Wonder Ventures",5.4,4.4,-2.0,459.00%,Y,Southern US,Unknown,Unknown,CleanTech & Energy
Gruve,https://www.crunchbase.com/organization/gruve-4521,2024-01-01,Unknown,11-50,Gruve is a startup focused on transforming AI strategies into tangible outcomes for enterprises.,"Artificial Intelligence (AI), Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,2,20000000.0,USD,2025-04-30,Series A,37500000.0,USD,1.0,"Mayfield Fund, Cisco Investments",-0.1,-0.8,-1.0,100.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Praia Health,https://www.crunchbase.com/organization/praia-health,2024-01-01,Justin Dearborn,11-50,Praia Health is a modern consumer platform for health systems that transforms the delivery of tailored health solutions on a large scale.,"Health Care, Hospital, Medical, Wellness",Health Care,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Unknown,2,0.0,USD,2024-11-04,Venture - Series Unknown,20000000.0,USD,2.0,"SignalFire, Frist Cressey Ventures, Providence Ventures, Epsilon Health Investors, LabCorp Venture Fund",-0.3,-0.7,-0.7,-23.00%,Y,Greater Chicago Area,Great Lakes,Midwestern US,Healthcare & Biotech
Habitat Health,https://www.crunchbase.com/organization/habitat-health,2023-01-01,Unknown,11-50,Habitat Health provides health and social care to older persons with medical services.,"Health Care, Medical",Health Care,"California, Kentucky, United States",Southern US,Active,Unknown,1,50000000.0,USD,2024-04-09,Venture - Series Unknown,50000000.0,USD,0.0,"Town Hall Ventures, Kaiser Permanente Ventures, NEA",0.4,-0.3,-0.8,138.00%,Y,Southern US,Unknown,Unknown,Healthcare & Biotech
gamma,https://www.crunchbase.com/organization/gamma-c251,2023-01-01,"Ike Youssef, Larry Jackson",51-100,gamma operates as a modern media and music company.,"Media and Entertainment, Music, Podcast","Media and Entertainment, Music and Audio","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Private Equity,3,100000000.0,USD,2024-02-01,Private Equity,1100000000.0,USD,1.0,"Alpha Wave Global, A24, Eldridge Industries, Apple",0.0,-0.2,5.5,Unknown,Y,Greater Los Angeles Area,West Coast,Western US,Media & Marketing
Aimiable,https://www.crunchbase.com/organization/aimiable,2023-03-01,"Kelly Wu, Olga Gomonova",11-50,AI OS for Customer Support Teams and Contact Centers.,"Artificial Intelligence (AI), Customer Service, Operating Systems, Software","Artificial Intelligence (AI), Data and Analytics, Other, Platforms, Professional Services, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",Active,Seed,1,3085000.0,USD,2024-03-19,Seed,3085000.0,USD,0.0,Unknown,0.1,2.2,1.5,Unknown,N,Greater Miami Area,East Coast,Southern US,AI & Data
Singulr AI,https://www.crunchbase.com/organization/singulr-ai,2023-01-01,Unknown,11-50,Singulr AI is an AI-powered test automation platform for generating and maintaining tests across web and mobile apps.,"Artificial Intelligence (AI), Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Seed,1,5000000.0,USD,2024-10-25,Seed,5000000.0,USD,1.0,"Y Combinator, F2 Venture Capital, ACE Ventures, 840 Venture Partners",-0.5,-1.7,5.2,Unknown,N,Greater Boston Area,East Coast,Northeastern US,AI & Data
VEX,https://www.crunchbase.com/organization/vex-9210,2024-12-01,"Martin Ma, Robert Ngian, Sky Cheng Tian",51-100,"Financing: Received the first round of $10 million funding from Lam Group, Veloza Foundation and HuiBit Fund","Blockchain, Financial Services, Web3","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other","Denver, Colorado, United States","Greater Denver Area, Western US",Active,Seed,1,10000000.0,USD,2024-12-13,Seed,10000000.0,USD,0.0,Lam Group,0.0,-0.3,-0.2,Unknown,N,Greater Denver Area,Unknown,Western US,Fintech
NGM Bio Holdings,https://www.crunchbase.com/organization/ngm-bio-holdings,2024-01-01,Unknown,101-250,NGM Bio Holdings is a biotechnology company.,Biotechnology,"Biotechnology, Science and Engineering","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Unknown,1,73223979.0,USD,2024-07-17,Undisclosed,73223979.0,USD,0.0,Unknown,0.0,-1.5,6.1,Unknown,N,San Francisco Bay Area,West Coast,Western US,Healthcare & Biotech
Ispire Technology,https://www.crunchbase.com/organization/ispire-technology,2023-01-01,Liu Tuanfang,51-100,Ispire Technology develops and sells e-cigarettes and cannabis vaping products.,"Industrial, Manufacturing",Manufacturing,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,IPO,2,12300000.0,USD,2024-03-22,Post-IPO Equity,20300000.0,USD,0.0,Unknown,-0.1,3.3,-1.6,Unknown,N,Greater Los Angeles Area,West Coast,Western US,Industrial & Other
Kyoso,https://www.crunchbase.com/organization/lumina-103e,2024-03-01,"Dustin Johnson, Rupert Haslam",11-50,"Kyoso is a design-smart AI -- your personal co-creator -- assisting all skill levels create stunning, on-brand content","Generative AI, Graphic Design, Personalization, Photo Editing, Video Editing","Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Design, Media and Entertainment, Video","Delaware, Ohio, United States","Great Lakes, Midwestern US",Active,Seed,1,6500000.0,USD,2024-08-01,Pre-Seed,6500000.0,USD,0.0,"Seedcamp, boldstart ventures",0.0,0.0,-0.6,Unknown,N,Great Lakes,Unknown,Midwestern US,AI & Data
Pantheon AI,https://www.crunchbase.com/organization/pantheon-ai,2023-01-01,Unknown,11-50,Pantheon AI is a technology company.,Unknown,Unknown,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,3,25000000.0,USD,2024-07-22,Seed,42625000.0,USD,1.0,"Andreessen Horowitz, 8VC, Felicis",0.9,0.0,0.0,Unknown,N,San Francisco Bay Area,West Coast,Western US,Unknown
ClaimSorted,https://www.crunchbase.com/organization/claimsorted,2024-01-01,"German Mikulski, Pavel Gertsberg",51-100,Modern claims TPA for modern insurance companies,"Artificial Intelligence (AI), Auto Insurance, Commercial Insurance, Health Insurance, Infrastructure, Insurance, InsurTech, Life Insurance, Property Insurance","Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,3000000.0,USD,2024-10-12,Pre-Seed,3000000.0,USD,1.0,"Y Combinator, Firstminute Capital, Precursor Ventures, Transpose",0.0,0.0,1.3,Unknown,N,Greater New York Area,East Coast,Northeastern US,Fintech
MyShell,https://www.crunchbase.com/organization/myshell,2023-01-01,"Charles Qin, Ethan Sun",11-50,"MyShell is a decentralized and comprehensive platform for discovering, creating, and staking AI-native apps.","Artificial Intelligence (AI), Human Computer Interaction, Mobile Apps, Software","Apps, Artificial Intelligence (AI), Data and Analytics, Design, Mobile, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,11000000.0,USD,2024-03-27,Seed,16600000.0,USD,2.0,"Dragonfly, HashKey Capital, INCE Capital, Maven 11 Capital, Bankless Ventures",0.2,-0.2,-0.9,Unknown,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
Highland Materials,https://www.crunchbase.com/organization/highland-materials,2023-01-01,Unknown,101-250,Highland Materials is a global leader in the manufacture of poly silicon.,Manufacturing,Manufacturing,"Johnson City, Tennessee, United States",Southern US,Active,Unknown,1,255600000.0,USD,2024-04-19,Grant,255600000.0,USD,1.0,US Department of Energy,-0.6,-0.9,5.3,Unknown,N,Southern US,Unknown,Unknown,Industrial & Other
Hapax,https://www.crunchbase.com/organization/hapax,2024-01-01,Unknown,11-50,Hapax is a financial service platform that provides superior technology to overcome challenges.,"Financial Services, FinTech, Information Technology","Financial Services, Information Technology","Austin, Texas, United States",Southern US,Active,Seed,1,2600000.0,USD,2024-04-03,Seed,2600000.0,USD,1.0,RHS Investments,0.0,-0.4,-2.5,Unknown,N,Southern US,Unknown,Unknown,Fintech
Familiar Machines & Magic,https://www.crunchbase.com/organization/familiar-machines-magic,2024-01-01,Colin Angle,11-50,Familiar Machines & Magic is a robotics company that offers a home robot for health and wellness.,"Home Health Care, Robotics, Wellness","Hardware, Health Care, Science and Engineering, Software","Woburn, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Unknown,1,15000000.0,USD,2024-12-13,Undisclosed,15000000.0,USD,0.0,Unknown,-0.1,-0.3,1.2,Unknown,N,Greater Boston Area,East Coast,Northeastern US,Healthcare & Biotech
Onyx Security Inc.,https://www.crunchbase.com/organization/onyx-security-inc,2024-01-01,"Gil Elbaz, Maxim Kogan, Shachak Zicher",11-50,Onyx Security enables organizations via a holistic platform to adopt AI and AI agents with confidence - without compromising security.,Software,Software,"Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",Active,Seed,1,5000000.0,USD,2024-08-01,Seed,5000000.0,USD,0.0,Cyberstarts,0.6,-0.7,6.8,Unknown,N,Greater Philadelphia Area,East Coast,Southern US,Enterprise Software
International Battery Company,https://www.crunchbase.com/organization/international-battery-company,2023-01-01,"Priyadarshi Panda, Raj Singh, Sasi Kuppannagari",51-100,International Battery Company is constructing unique I-NMC Prismatic cells in India at its non-captive Gigafactory.,Battery,Energy,"Milpitas, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,35000000.0,USD,2024-01-18,Seed,35000000.0,USD,1.0,"RTP Global, Shastra VC, BEENEXT",-0.3,-1.6,-1.1,Unknown,N,San Francisco Bay Area,Silicon Valley,Western US,Other
HumanityAI,https://www.crunchbase.com/organization/jobs-for-humanity,2023-11-13,Roy Baladi,11-50,"HumanityAI makes hiring as easy as Uber: just share the role and timing—AI handles posting, sourcing, screening & scheduling in a week.","Generative AI, Information Technology, Recruiting","Artificial Intelligence (AI), Information Technology, Professional Services","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,600000.0,USD,2025-01-01,Seed,600000.0,USD,1.0,"BDev Ventures, IM Fndng",-0.2,-0.1,7.1,Unknown,N,Greater New York Area,East Coast,Northeastern US,AI & Data
Continuum,https://www.crunchbase.com/organization/continuum-8a61,2023-01-01,Alex Witcpalek,11-50,Continuum is a technology firm specializing in digital networks for B2B distributors and manufacturers.,"B2B, Manufacturing, Retail, Software, Wholesale","Commerce and Shopping, Manufacturing, Other, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Seed,2,4100000.0,USD,2024-08-26,Seed,5800000.0,USD,2.0,"M25, Clocktower Technology Ventures, Cambrian Ventures, Cowboy Ventures, Daren Cotter",0.0,0.0,2.3,Unknown,Y,Greater Chicago Area,Great Lakes,Midwestern US,Enterprise Software
Moondream,https://www.crunchbase.com/organization/moondream-17e4,2024-01-01,"Jay Allen, Vik Korrapati",11-50,Moondream builts a vision-language model that operates with 1.6 billion parameters.,"Artificial Intelligence (AI), Developer Platform, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Active,Seed,1,4500000.0,USD,2024-10-28,Pre-Seed,4500000.0,USD,1.0,"Felicis, Ascend, M12 - Microsoft's Venture Fund",1.2,0.0,-0.4,Unknown,N,Greater Seattle Area,West Coast,Western US,AI & Data
