Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
Astera Holdings,https://www.crunchbase.com/organization/astera-holdings,8/1/2024,"Akshay Srinivasan, Graham Robbins, Jonah Melton",11-50,"Astera Holdings focuses on quantitative research, utilizing mathematical models and machine learning, for event-driven markets.","Artificial Intelligence (AI), Asset Management, Financial Services, Hedge Funds, Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Wilmington, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19801,,,Active,Seed,3,"$45,000.00",USD,6/25/2025,Pre-Seed,"$100,000.00",USD,,,,,0.3,0.9,9.1,800.00%,Y,4,,
Onos Health,https://www.crunchbase.com/organization/onos-health,10/1/2024,Akshay Agarwal,11-50,Onos Health is a health tech company that offers clinical teams a behavioral health platform to streamline workflows and cut admin tasks.,"Health Care, SaaS, Software","Health Care, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,,1,"$6,324,999.00",USD,5/6/2025,Venture - Series Unknown,"$6,324,999.00",USD,,,,,0.5,-0.1,-0.2,250.00%,Y,4,0,officail website match LinkedIn
Billor,https://www.crunchbase.com/organization/billor,1/1/2023,Jardel da Rocha,51-100,Billor is a financial and freight platform that is vertically integrated for truck drivers.,"Freight Service, Transportation",Transportation,"Orlando, Florida, United States","East Coast, Southern US",32835,,,Active,Seed,2,"$330,000,000.00",USD,1/30/2025,Debt Financing,"$330,000,000.00",USD,1,Leste,,,-0.4,-1.3,-1.3,343.00%,Y,4,8,
Claros,https://www.crunchbase.com/organization/claros,1/1/2024,,11-50,"Claros is a power management platform that utilizes cutting-edge hardware, software to enhance energy distribution & usage at data centers.",,,"Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",VA 22102,,,Active,Seed,1,"$9,700,000.00",USD,2/27/2025,Seed,"$9,700,000.00",USD,,"General Catalyst, Red Cell Partners, Virginia Venture Partners, Composite Capital Partners",1/1/2025,,0.8,0.0,-0.2,180.00%,Y,4,1,
Chariot Defense,https://www.crunchbase.com/organization/chariot-defense,1/1/2024,Adam Warmoth,11-50,Chariot Defense is creating the advanced hardware and software framework to solve it.,National Security,Government and Military,"South San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$8,000,000.00",USD,7/16/2025,Seed,"$8,000,000.00",USD,2,"General Catalyst, XYZ Venture Capital, Ravelin, Cubit Capital, Pax Ventures",,,-0.2,-3.6,9.9,100.00%,Y,4,0,
Elligint Health,https://www.crunchbase.com/organization/elliginthealth,1/1/2024,,51-100,Elligint Health provides predictive analytics and advisory services for healthcare improvement.,"Analytics, Consulting, Data Management","Data and Analytics, Professional Services","Edison, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",8837,,$1M to $10M,Active,Seed,1,"$3,200,000.00",USD,1/10/2025,Seed,"$3,200,000.00",USD,,,,,-0.1,4.4,6.5,200.00%,Y,4,0,
Eon,https://www.crunchbase.com/organization/eon-e96e,1/1/2024,"Gonen Stein, Ofir Ehrlich, Ron Kimchi",51-100,Eon is a cloud backup posture management platform that provides instant access to all backed-up cloud data.,"Cloud Data Services, Cloud Management, Data Management, SaaS","Data and Analytics, Information Technology, Internet Services, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Late Stage Venture,4,"$70,000,000.00",USD,11/26/2024,Series C,"$197,000,000.00",USD,4,"Bond, Sequoia Capital, Lightspeed Venture Partners, Meron Capital, Eight Roads Ventures",,,0.0,-0.2,4.2,128.00%,Y,5,,
Braintrust,https://www.crunchbase.com/organization/braintrust-data,1/1/2023,Ankur Goyal,11-50,"Braintrust offers an AI stack to simplify the process from evaluations to data management, ensuring seamless integration into any business.","Artificial Intelligence (AI), Data Integration, Data Management","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,2,"$36,000,000.00",USD,10/8/2024,Series A,"$41,100,000.00",USD,2,"Andreessen Horowitz, Greylock, Datadog, basecase capital, Guillermo Rauch",,,-0.1,4.7,4.6,306.00%,Y,5,,
Didero,https://www.crunchbase.com/organization/didero,12/1/2023,"Tim Spencer, Tom Petit",11-50,AI agents powering superhuman procurement teams,Artificial Intelligence (AI),"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$7,000,000.00",USD,7/17/2024,Seed,"$7,000,000.00",USD,1,"BoxGroup, Construct Capital, First Round Capital, Company Ventures, Conviction VC",,,-0.1,4.6,4.7,111.00%,Y,5,,
Humata Health,https://www.crunchbase.com/organization/humata-health,1/1/2023,Jeremy Friese,101-250,Humata Health is an AI-enabled deep clinical integration that creates prior authorizations for payers and providers using AI and automation.,"Artificial Intelligence (AI), Health Care","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Winter Park, Florida, United States","East Coast, Southern US",,,,Active,Early Stage Venture,1,"$25,000,000.00",USD,6/20/2024,Series A,"$25,000,000.00",USD,2,"LRVHealth, .406 Ventures, Optum Ventures, The Blue Venture Fund, Highmark Ventures",,,0.1,0.1,-1.5,73.00%,Y,5,,
Biostate AI,https://www.crunchbase.com/organization/biostate-ai,1/1/2023,"Ashwin Gopinath, David Zhang",11-50,Biostate AI is a company focused on providing AI-powered solutions for the life sciences and healthcare industries.,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Medical","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94204,,,Active,Early Stage Venture,3,"$12,000,000.00",USD,5/20/2025,Series A,"$16,000,000.00",USD,2,"Gaingels, Accel, Info Edge ventures, Mana Ventures, Caltech",7/24/2025,,-0.4,3.9,1.6,88.00%,Y,5,,
Dune Security,https://www.crunchbase.com/organization/dune-security,5/16/2023,"David DellaPelle, Michael Waite",11-50,Dune Security is a cybersecurity company that utilizes AI to analyze user behavior and identify high-risk employees within an organization.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Security","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10012,,,Active,Seed,3,"$6,000,000.00",USD,1/29/2025,Seed,"$8,000,000.00",USD,3,"Antler, Sequoia Capital, Alumni Ventures, Craft Ventures, MassMutual Ventures",,,-0.1,5.1,6.1,30.00%,Y,5,,
Aurelius Systems,https://www.crunchbase.com/organization/aurelius-systems,1/1/2024,"John Marmaduke, Michael LaFramboise",11-50,Autonomous Laser Systems for Counter Drone Defense,"Artificial Intelligence (AI), Military, Security","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Privacy and Security, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$10,000,000.00",USD,9/3/2025,Seed,"$10,000,000.00",USD,2,"General Catalyst, Alumni Ventures, Draper Associates, Squadra Ventures, GoAhead Ventures",,,0.0,9.9,9.9,400.00%,Y,5,,
Somite,https://www.crunchbase.com/organization/somite,10/19/2023,"Allon Klein, Cliff Tabin, Jay Shendure, Jonathan Rosenfeld, Micha Y. Breakstone, Olivier Pourquie",11-50,Somite is leveraging data and AI to introduce novel cell replacement therapies.,"Artificial Intelligence (AI), Biotechnology","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",,,$1M to $10M,Active,,3,,,8/20/2025,Venture - Series Unknown,"$57,295,000.00",USD,3,"Khosla Ventures, Fusion Fund, Lerer Hippeau, Next Coast Ventures, Harpoon",,,-0.5,-2.0,-0.5,66.00%,Y,5,,
Augmodo,https://www.crunchbase.com/organization/augmodo,1/1/2023,,11-50,"Augmodo Spatial AI enables real-time tracking of products across all stores, enhancing inventory management and shopping experiences.","Artificial Intelligence (AI), Marketing, Retail","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",,,,Active,Early Stage Venture,2,"$37,584,953.00",USD,7/10/2025,Series A,"$42,884,953.00",USD,2,"Lerer Hippeau, TQ Ventures, New Fare, Simple Food Ventures, Interlace Ventures",,,-1.0,-3.7,7.1,94.00%,Y,5,5,https://www.augmodo.com/careers
Rune Technologies,https://www.crunchbase.com/organization/rune-technologies,1/1/2024,David Tuttle,11-50,Rune Technologies develops AI-enabled predictive logistics solutions for military operations.,"Artificial Intelligence (AI), Logistics, Manufacturing, Military","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Manufacturing, Science and Engineering, Software, Transportation","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",22209,,,Active,Early Stage Venture,2,"$24,000,000.00",USD,7/21/2025,Series A,"$30,200,000.00",USD,2,"Andreessen Horowitz, XYZ Venture Capital, Human Capital, Washington Harbour Partners, Point72 Ventures",,,-0.8,-5.5,4.0,244.00%,Y,5,,
Acai Travel,https://www.crunchbase.com/organization/acai-travel-inc,8/1/2023,"Henry chen Weinstein, Pavel Pratyush, Riccardo Vittoria",11-50,"Acai Travel unleashes the full potential of travel operations with AI-powered automation, for faster and leaner customer service.","Artificial Intelligence (AI), Travel","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10024,,,Active,Seed,4,,,5/21/2025,Seed,"$6,500,000.00",USD,2,"Draper B1, Nauta Capital, Amadeus, One Travel Ventures",,,5.9,1.5,-1.2,105.00%,Y,5,,
Bright Harbor,https://www.crunchbase.com/organization/bright-harbor-recovery,7/1/2024,Joel Wish,11-50,"Bright Harbor helps companies, organizations and governments prepare and respond to natural disasters","Advice, Construction, Insurance","Financial Services, Media and Entertainment, Real Estate","Austin, Texas, United States",Southern US,,,,Active,Seed,1,"$10,037,995.00",USD,8/26/2025,Seed,"$10,037,995.00",USD,,,,,-0.2,5.1,9.6,144.00%,Y,5,,
Subzero Labs,https://www.crunchbase.com/organization/subzero-labs,1/1/2024,,11-50,"Subzero Labs is developing Rialo, a developer-first Layer 1 blockchain built for internet-scale decentralized applications.",,,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",90012,,,Active,Seed,1,"$20,000,000.00",USD,8/1/2025,Seed,"$20,000,000.00",USD,1,"Pantera Capital, Mysten Labs, Variant, Fabric Ventures, Coinbase Ventures",,,-0.9,-2.9,9.9,1200.00%,Y,5,,
Hike Medical,https://www.crunchbase.com/organization/hike-medical,10/3/2023,"Aadi Bhanti, Amit Bhanti, Steven Chacko",11-50,"Hike is building the foot health platform—AI, 3D printing, and clinical tools powering care from jobsite to clinic to home.","Computer Vision, Health Care, Machine Learning, Software","Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2110,,$1M to $10M,Active,Seed,1,"$7,000,000.00",USD,7/4/2025,Seed,"$7,000,000.00",USD,,"Indicator Ventures, Rosecliff Ventures, RiverPark Ventures",,,0.0,-0.8,9.2,47.00%,Y,5,,
T-robotics,https://www.crunchbase.com/organization/t-robotics-037f,2/5/2024,"Asad Tirmizi, Lars Tingelstad",11-50,T-robotics is a robot software company that uses the inference power to detect and execute tasks based on natural language commands,"Artificial Intelligence (AI), Intelligent Systems, Robotics, Software","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94105,,,Active,Seed,3,"$575,000.00",USD,3/21/2025,Seed,"$6,225,000.00",USD,2,"Engine Ventures, SkyDeck Berkeley, IAG Capital Partners, Emergent Ventures, Raisewell Ventures",,,0.0,-0.4,-0.4,171.00%,Y,5,,
Aracor AI,https://www.crunchbase.com/organization/aracor-ai,1/1/2024,,11-50,Aracor is a platform that applies artificial intelligence to contract review and due diligence.,"Artificial Intelligence (AI), Information Technology, Internet","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33131,,,Active,Seed,2,,,3/26/2025,Non-equity Assistance,"$4,500,000.00",USD,2,"Peachscore, Fuel Venture Capital",,,-0.2,-0.3,-0.1,25.00%,Y,5,0,
Peak Energy,https://www.crunchbase.com/organization/peak-energy-2cb9,1/1/2023,Landon Mossburg,11-50,Peak Energy is a pioneering firm that is industrializing sodium-ion to expedite the shift to renewable energy.,"Energy, Renewable Energy","Energy, Sustainability","Denver, Colorado, United States","Greater Denver Area, Western US",,,,Active,Early Stage Venture,2,"$55,000,000.00",USD,7/17/2024,Series A,"$65,000,000.00",USD,3,"Eclipse Ventures, Tishman Speyer, TDK Ventures, Lachy Groom, Xora Innovation",1/22/2025,,-0.2,-1.3,4.9,47.00%,Y,6,,
Contextual AI,https://www.crunchbase.com/organization/contextual-ai,1/1/2023,"Amanpreet Singh, Douwe Kiela",51-100,Contextual AI specializes in customizable generative AI applications with RAG 2.0 technology for the banking and media industries.,"Artificial Intelligence (AI), Generative AI, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94040,,$1M to $10M,Active,Early Stage Venture,2,"$80,000,000.00",USD,8/1/2024,Series A,"$100,000,000.00",USD,2,"Lightspeed Venture Partners, Bain Capital Ventures, SV Angel, Conviction, Greycroft",6/1/2023,,-0.1,-0.8,-3.0,16.00%,Y,6,,
11x,https://www.crunchbase.com/organization/11x-ai,8/1/2023,Hasan Sukkar,101-250,11x develops autonomous digital workers to help organizations optimize their processes.,"Artificial Intelligence (AI), Information Technology, Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94107,,$10M to $50M,Active,Early Stage Venture,3,"$50,000,000.00",USD,9/30/2024,Series B,"$76,000,000.00",USD,3,"Andreessen Horowitz, Quiet Capital, Lux Capital, Benchmark, SV Angel",5/5/2025,,0.0,-0.9,-2.4,277.00%,Y,6,,
cside,https://www.crunchbase.com/organization/c-side-c589,1/1/2024,Simon Wijckmans,11-50,Cside is a cybersecurity company that provides monitoring solutions that safeguard vulnerable browser-side third-party scripts.,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Information Technology, Network Security, Web Development","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Dover, Delaware, United States","East Coast, Southern US",19904,,,Active,Seed,2,"$6,000,000.00",USD,9/16/2024,Seed,"$7,700,000.00",USD,2,"MANTIS Venture Capital, Uncork Capital, Scribble Ventures, Kevin Weil, Roar Ventures",,,-0.7,-1.8,-0.6,38.00%,Y,6,,
Series Entertainment,https://www.crunchbase.com/organization/series-ai-c6e9,1/1/2023,Pany Haritatos,51-100,Series Entertainment is a creative company that specializes in the development of games using artificial intelligence.,"Artificial Intelligence (AI), Creative Agency, Gaming","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Gaming, Media and Entertainment, Science and Engineering, Software","Rocklin, California, United States","West Coast, Western US",95765-5554,,,Active,Early Stage Venture,2,"$28,000,000.00",USD,8/27/2024,Series A,"$35,900,000.00",USD,1,"Andreessen Horowitz, Netflix, BITKRAFT Ventures, Dell Technologies Capital, Siqi Chen",,,0.0,-0.5,-0.7,27.00%,Y,6,,
Lodestar Space,https://www.crunchbase.com/organization/lodestar-e2b9,1/1/2023,,11-50,Space Defence AI,"Artificial Intelligence (AI), National Security, Security, Space Travel","Artificial Intelligence (AI), Data and Analytics, Government and Military, Privacy and Security, Science and Engineering, Software, Transportation","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",90245,,,Active,Seed,2,"$2,300,000.00",EUR,7/25/2024,Pre-Seed,"$3,524,253.00",USD,3,"UK Space Agency, Lunar Ventures, Inflection.xyz, Charlie Songhurst, Mehdi Ghissassi",,,-0.2,-0.1,-0.5,9.00%,Y,6,,
Cookie Finance,https://www.crunchbase.com/organization/cookie-finance,2/1/2023,Nate Coughran,11-50,Tech enabled accounting and finance platform built specifically for content creators and social media influencers.,Financial Services,Financial Services,"Henrico, North Carolina, United States","East Coast, Southern US",23233,,,Active,Seed,1,"$4,000,000.00",USD,9/30/2024,Seed,"$4,000,000.00",USD,,,,,-0.1,0.0,0.0,67.00%,Y,6,,
Ionna,https://www.crunchbase.com/organization/ionna,1/1/2023,Ricardo Stamatti,51-100,"Ionna is a collaboration between automotive companies BMW, General Motors, Honda, Hyundai, Kia, Mercedes-Benz, and Stellantis.",Renewable Energy,"Energy, Sustainability","Torrance, California, United States","Greater Los Angeles Area, West Coast, Western US",90503,,,Active,,1,,,7/10/2024,Corporate Round,,,1,Toyota Motor North America,10/3/2024,,0.0,0.0,-0.7,32.00%,Y,6,,
Hello Patient,https://www.crunchbase.com/organization/hello-patient,3/30/2024,"Alex Cohen, Nicholas DeRobertis",11-50,Hello Patient is an AI-powered patient engagement platform that automates calls and texts to improve efficiency and patient communication.,"Artificial Intelligence (AI), Generative AI, Health Care","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Austin, Texas, United States",Southern US,,,,Active,Early Stage Venture,2,"$22,500,000.00",USD,9/5/2025,Series A,"$28,800,000.00",USD,2,"8VC, Flex Capital, Bling Capital, Max Ventures, REMUS Capital",,,-0.5,9.2,9.6,83.00%,Y,6,,
Genspark,https://www.crunchbase.com/organization/genspark-ai,1/1/2023,"Eric Jing, Kay Zhu",11-50,Genspark operates as an artificial intelligence company.,"Artificial Intelligence (AI), Search Engine","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,$10M to $50M,Active,Early Stage Venture,2,"$100,000,000.00",USD,2/21/2025,Series A,"$160,000,000.00",USD,1,Lanchi Ventures,,,-0.9,-2.8,-1.5,275.00%,Y,6,,
Brisk Teaching,https://www.crunchbase.com/organization/brisk-teaching,3/1/2023,Arman Jaffer,11-50,Brisk Teaching provides AI-powered tools for educators to enhance teaching with digital resources.,"Artificial Intelligence (AI), EdTech, Education","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software","Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94024,,$1M to $10M,Active,Early Stage Venture,2,"$15,000,000.00",USD,3/26/2025,Series A,"$21,899,995.00",USD,2,"Bessemer Venture Partners, South Park Commons, Springbank Collective, Coalition Operators, Owl Ventures",,,-0.2,-1.7,4.3,213.00%,Y,6,,
Antares Therapeutics,https://www.crunchbase.com/organization/antares-therapeutics-971a,1/1/2025,,101-250,"Antares is a biotechnology company focused on developing transformational,medicines targeting validated cancer and other serious diseases.","Biopharma, Biotechnology, Ediscovery, Health Care, Life Science, Manufacturing, Therapeutics","Biotechnology, Health Care, Internet Services, Manufacturing, Science and Engineering","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2110,,,Active,Early Stage Venture,1,"$177,000,000.00",USD,5/15/2025,Series A,"$177,000,000.00",USD,5,"Lightspeed Venture Partners, Cormorant Asset Management, Omega Funds, Vida Ventures, Abingworth",6/17/2025,,-0.4,-1.4,-4.2,9700.00%,Y,6,,
Gradial,https://www.crunchbase.com/organization/panorama-artificial-intelligence,1/1/2023,"Anish Chadalavada, Deip Kumar, Doug Tallmadge",11-50,Marketing & sales ops at the speed of thought,"Artificial Intelligence (AI), Developer Platform, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",98109,,$1M to $10M,Active,Early Stage Venture,2,"$13,000,000.00",USD,3/17/2025,Series A,"$18,259,996.00",USD,1,"Madrona, Outsiders Fund, PruVen Capital, Space Capital, DLA Piper",8/7/2025,,-0.4,-1.9,4.6,213.00%,Y,6,,
NetBox Labs,https://www.crunchbase.com/organization/netbox-labs,1/1/2023,"Bill Lapcevic, Jeremy Stretch, Kristopher Beevers, Mark Coleman, Salil Jani, Shannon Weyrick",11-50,NetBox Labs develops services for the open-source NetBox IP address management and data center infrastructure management platform.,"Information Technology, Open Source, Professional Networking, SaaS","Community and Lifestyle, Information Technology, Professional Services, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10005,,$1M to $10M,Active,Early Stage Venture,4,"$35,000,000.00",USD,7/14/2025,Series B,"$55,165,338.00",USD,4,"Headline, Sorenson Capital, Founder Collective, Two Sigma Ventures, IBM",,,-0.5,-5.6,4.3,105.00%,Y,6,0,https://netboxlabs.com/careers/#open-roles
SunStrong Management,https://www.crunchbase.com/organization/sunstrong-management,1/1/2024,,101-250,SunStrong Management is a forward-thinking asset management firm.,Renewable Energy,"Energy, Sustainability","Austin, Texas, United States",Southern US,,,,Active,,1,"$254,000,000.00",USD,6/2/2025,Debt Financing,"$254,000,000.00",USD,,,9/5/2025,,-0.3,7.0,6.1,18.00%,Y,6,,
F2 AI,https://www.crunchbase.com/organization/f2-ai,1/1/2025,,11-50,"F2 AI offers an AI platform specifically designed for private markets, including private finance, private equity, and commercial banking.","Artificial Intelligence (AI), Commercial Lending","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$10,000,000.00",USD,9/16/2025,Seed,"$10,000,000.00",USD,,"Y Combinator, NFX, Left Lane Capital",,,4.5,9.9,9.9,2300.00%,Y,6,,
zeroRISC,https://www.crunchbase.com/organization/zerorisc,1/1/2023,Dominic Rizzo,11-50,ZeroRISC operates as a stealth start-up making hardware security foundations transparent and trustworthy.,"Hardware, Information Technology, Security","Hardware, Information Technology, Privacy and Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",,,$1M to $10M,Active,Seed,2,"$10,000,000.00",USD,6/11/2025,Seed,"$15,000,000.00",USD,2,"Fontinalis Partners, Bond Street, Chelpis Quantum Tech, SBXi, Avonmore Developments",7/10/2025,,-0.2,-1.4,-4.1,20.00%,Y,6,,
Cogent Security,https://www.crunchbase.com/organization/cogent-security,1/1/2024,,11-50,Cogent has created the first AI taskforce for vulnerability management.,,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$11,000,000.00",USD,7/15/2025,Seed,"$11,000,000.00",USD,1,"Greylock, Lockstep",,,0.0,-2.4,9.9,213.00%,Y,6,,
Shield Technology Partners,https://www.crunchbase.com/organization/shield-technology-partners,1/1/2024,,101-250,Shield Technology Partners is a managed service provider platform dedicated to drive growth and innovation for IT services businesses,"Business Development, Consulting, Information Technology","Information Technology, Professional Services","Tampa, Florida, United States","Tampa Bay Area, East Coast, Southern US",,,,Active,,1,"$100,000,000.00",USD,6/5/2025,Venture - Series Unknown,"$100,000,000.00",USD,2,"Thrive Capital, ZBS Partners",,,0.0,-0.3,-2.7,1050.00%,Y,6,10,
Aurora,https://www.crunchbase.com/organization/aurora-6de3,8/1/2024,"Aurelius Zwick, Dmitry Ogurtsov, Jonah Lowenstein, José Gonçalves",11-50,The AI-Powered Premium Lifestyle Manager For Late-Stage & Post-Exit Founders,"Artificial Intelligence (AI), Lifestyle, Software","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Science and Engineering, Software","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",33131,,,Active,Seed,1,"$2,500,000.00",USD,4/16/2025,Pre-Seed,"$2,500,000.00",USD,1,"Boost Capital Partners, Alex Macdonald, Profluence Capital, Koro Capital Ltd, Thunder Future",,,0.0,-0.1,0.6,420.00%,Y,6,0,
ClearPoint Health,https://www.crunchbase.com/organization/clearpoint-health,1/1/2023,,11-50,ClearPoint Health offers health-benefit solutions. It is a purpose-driven Self-Funded Platform for small to mid-sized enterprises.,"Employee Benefits, Health Care, Insurance","Administrative Services, Financial Services, Health Care","Columbia, South Carolina, United States","East Coast, Southern US",29201,,,Active,Private Equity,1,,,1/8/2024,Private Equity,,,1,Stone Point Capital,6/24/2025,,-0.2,2.9,-1.0,4.00%,Y,7,,
Eternal,https://www.crunchbase.com/organization/eternal-ce89,2/1/2024,Alex Mather,11-50,Eternal is here to redefine what healthcare looks and feels like for those who can’t imagine a life without being active.,"Consumer Software, Fitness, Health Care","Health Care, Software, Sports","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94123,,,Active,Seed,1,"$13,000,000.00",USD,2/8/2025,Seed,"$13,000,000.00",USD,1,"Lightspeed Venture Partners, NEXT VENTŪRES, Courtside Ventures, Treble",7/6/2025,4/5/2024,-0.7,-3.8,-0.5,94.00%,Y,7,,
Lyzr,https://www.crunchbase.com/organization/lyzr-ai,7/18/2023,Siva S,11-50,Lyzr is an enterprise software company that offers AI porwered agent framework to build multi-agent workflows.,"Apps, Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Generative AI, Information Technology, Language Learning, Machine Learning, Open Source, SaaS","Apps, Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software","Jersey City, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",7310,,,Active,Seed,3,,,1/11/2025,Seed,"$2,900,000.00",USD,1,"Benhamou Global Ventures, Angel Investors, ZenithCrest, Artha99 Investment Partners",,,0.6,-0.8,5.7,79.00%,Y,7,,
Fiveonefour,https://www.crunchbase.com/organization/fiveonefour,10/1/2023,"Chris Crane, Nicolas Joseph, Tim Delisle",11-50,"Fiveonefour helps dev teams build data-intensive features, products and solutions without growing headcount or hiring data specialists.",Software,Software,"Portland, Oregon, United States","West Coast, Western US",,,,Active,Early Stage Venture,2,"$17,000,000.00",USD,9/4/2025,Series A,"$17,000,000.00",USD,1,"Ridge Ventures, Stage 2 Capital, Dimension Capital, Flybridge, Tokyo Black",,,-0.9,9.9,9.8,44.00%,Y,7,,
Listen Labs,https://www.crunchbase.com/organization/listen-labs,1/1/2023,"Alfred Wahlforss, Florian Juengermann",11-50,Listen Labs is a platform that uses AI to conduct interviews and analyze qualitative data to help companies understand their customers.,"Artificial Intelligence (AI), Generative AI, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,3,"$27,000,000.00",USD,4/23/2025,Series A,"$27,000,000.00",USD,1,"Pear VC, Sequoia Capital, Defiance Capital, Jeremy Yap",,,-0.3,7.1,6.1,286.00%,Y,7,,
